	s	c	o	f	n
GCF_001191005.1_ASM119100v1_protein.faa.named.faa	0.0	0.04	0.33	0.58	0.77
GCF_000955665.1_ASM95566v1_protein.faa.named.faa	0.06	0.03	0.26	0.24	0.55
GCF_001028645.1_ASM102864v1_protein.faa.named.faa	0.1	0.01	0.23	0.14	0.39
GCF_001051995.2_ASM105199v2_protein.faa.named.faa	0.14	0.18	0.36	0.8	0.73
GCF_000230735.2_ASM23073v3_protein.faa.named.faa	0.14	0.14	0.22	0.12	0.57
GCF_001620005.1_ASM162000v1_protein.faa.named.faa	0.23	0.02	0.35	0.21	0.71
GCF_000189415.1_ASM18941v1_protein.faa.named.faa	0.09	0.01	0.13	0.27	0.36
GCF_000013405.1_ASM1340v1_protein.faa.named.faa	0.36	0.1	0.05	0.48	0.33
GCF_000008665.1_ASM866v1_protein.faa.named.faa	0.6	0.4	0.3	0.45	0.45
GCF_000247605.1_ASM24760v1_protein.faa.named.faa	0.11	0.22	0.33	0.11	0.44
GCF_001688625.1_ASM168862v1_protein.faa.named.faa	0.05	0.11	0.39	0.16	0.35
GCF_000816345.1_ASM81634v1_protein.faa.named.faa	0.35	0.03	0.17	0.73	0.51
GCF_000166695.1_ASM16669v1_protein.faa.named.faa	0.27	0.14	0.38	0.04	0.41
GCF_000632985.1_ASM63298v1_protein.faa.named.faa	0.04	0.01	0.11	0.38	0.33
GCF_000024065.1_ASM2406v1_protein.faa.named.faa	0.03	0.04	0.31	0.33	0.59
GCF_000738435.1_ASM73843v1_protein.faa.named.faa	0.18	0.08	0.58	0.39	0.72
GCF_001663835.1_ASM166383v1_protein.faa.named.faa	0.18	0.0	0.06	0.25	0.08
GCF_000987835.1_ASM98783v1_protein.faa.named.faa	0.32	0.06	0.26	0.68	0.59
GCF_000226565.1_ASM22656v1_protein.faa.named.faa	0.01	0.03	0.3	0.46	0.53
GCF_001011035.1_ASM101103v1_protein.faa.named.faa	0.06	0.04	0.32	0.22	0.67
GCF_000317875.1_ASM31787v1_protein.faa.named.faa	0.06	0.02	0.16	0.39	0.35
GCF_000165485.1_ASM16548v1_protein.faa.named.faa	0.15	0.03	0.33	0.4	0.69
GCF_000739105.1_ASM73910v1_protein.faa.named.faa	0.07	0.02	0.32	0.26	0.68
GCF_000279145.1_ASM27914v1_protein.faa.named.faa	0.15	0.04	0.29	0.68	0.58
GCF_000954135.1_ASM95413v2_protein.faa.named.faa	0.02	0.05	0.41	0.41	0.75
GCF_000015225.1_ASM1522v1_protein.faa.named.faa	0.43	0.1		0.07	0.29
GCF_000517605.1_ASM51760v1_protein.faa.named.faa	0.25	0.08	0.59	0.6	0.8
GCF_000445425.4_ASM44542v4_protein.faa.named.faa	0.12	0.0	0.04	0.01	0.03
GCF_000233715.2_ASM23371v3_protein.faa.named.faa	0.57	0.22	0.31	0.44	0.57
GCF_000626675.1_ASM62667v1_protein.faa.named.faa	0.51	0.01	0.33	0.21	0.46
GCF_000012565.1_ASM1256v1_protein.faa.named.faa	0.03	0.02	0.17	0.35	0.33
GCF_000017585.1_ASM1758v1_protein.faa.named.faa	0.23	0.08	0.08	0.76	0.45
GCF_000024905.1_ASM2490v1_protein.faa.named.faa	0.19	0.03		0.07	0.19
GCF_000300295.3_ASM30029v3_protein.faa.named.faa	0.0	0.03	0.12	0.11	0.38
GCF_000013865.1_ASM1386v1_protein.faa.named.faa	0.05	0.05	0.41	0.35	0.76
GCF_000184685.1_ASM18468v1_protein.faa.named.faa	0.19	0.04	0.33	0.73	0.72
GCF_001310225.1_ASM131022v1_protein.faa.named.faa	0.16	0.02	0.3	0.5	0.45
GCF_000024925.1_ASM2492v1_protein.faa.named.faa	0.33	0.02	0.35	0.24	0.55
GCF_000706765.1_ASM70676v1_protein.faa.named.faa	0.05	0.0	0.17	0.0	0.18
GCF_000093065.1_ASM9306v1_protein.faa.named.faa	0.03	0.24	0.11	0.07	0.09
GCF_000021545.1_ASM2154v1_protein.faa.named.faa	0.46	0.08	0.23	0.75	0.5
GCF_000328565.1_ASM32856v1_protein.faa.named.faa	0.12	0.05	0.37	0.29	0.72
GCF_000018345.1_ASM1834v1_protein.faa.named.faa	0.24	0.05	0.43	0.21	0.69
GCF_001028665.1_ASM102866v1_protein.faa.named.faa	0.08	0.04	0.4	0.45	0.75
GCF_000006685.1_ASM668v1_protein.faa.named.faa	0.05	0.12	0.01	0.06	0.06
GCF_000754265.1_ASM75426v1_protein.faa.named.faa	0.2	0.02	0.24	0.09	0.31
GCF_000953215.1_DG5_protein.faa.named.faa	0.25	0.09	0.33	0.09	0.31
GCF_000341465.2_ASM34146v2_protein.faa.named.faa	0.17	0.05	0.28	0.33	0.65
GCF_000265405.1_ASM26540v1_protein.faa.named.faa	0.1	0.03	0.28	0.61	0.48
GCF_000284155.1_ASM28415v1_protein.faa.named.faa	0.03	0.01	0.17	0.4	0.3
GCF_000007465.2_ASM746v2_protein.faa.named.faa	0.19	0.0	0.1	0.07	0.15
GCF_000725405.1_ASM72540v1_protein.faa.named.faa	0.0	0.03	0.33	0.34	0.59
GCF_001025215.1_ASM102521v1_protein.faa.named.faa	0.05	0.01	0.15	0.02	0.17
GCF_000507245.1_ASM50724v1_protein.faa.named.faa	0.13	0.05	0.05	0.18	0.33
GCF_000092225.1_ASM9222v1_protein.faa.named.faa	0.26	0.03	0.38	0.2	0.66
GCF_000190315.1_ASM19031v1_protein.faa.named.faa	0.45	0.05	0.06	0.09	0.44
GCF_000092365.1_ASM9236v1_protein.faa.named.faa	0.11	0.01		0.5	0.38
GCF_000816265.1_ASM81626v1_protein.faa.named.faa	0.34	0.03	0.19	0.64	0.52
GCF_001038625.1_ASM103862v1_protein.faa.named.faa	0.17	0.23	0.42	0.11	0.49
GCF_000023065.1_ASM2306v1_protein.faa.named.faa	0.12	0.09	0.55	0.23	0.58
GCF_000344785.1_ASM34478v1_protein.faa.named.faa	0.4	0.01	0.41	0.23	0.38
GCF_000014805.1_ASM1480v1_protein.faa.named.faa	0.2	0.06	0.26	0.88	0.69
GCF_001318345.1_ASM131834v1_protein.faa.named.faa	0.11	0.08	0.08	0.44	0.4
GCF_000008765.1_ASM876v1_protein.faa.named.faa	0.05	0.06	0.42	0.16	0.36
GCF_000019365.1_ASM1936v1_protein.faa.named.faa	0.18	0.19	0.67	0.72	0.86
GCF_000517365.1_ASM51736v1_protein.faa.named.faa	0.1	0.03	0.02	0.1	0.03
GCF_001465255.1_ASM146525v1_protein.faa.named.faa	0.02	0.02	0.4	0.38	0.65
GCF_000190735.1_ASM19073v2_protein.faa.named.faa	0.02	0.04	0.32	0.54	0.57
GCF_000006765.1_ASM676v1_protein.faa.named.faa	0.06	0.04	0.4	0.8	0.74
GCF_000317475.1_ASM31747v1_protein.faa.named.faa	0.22	0.15	0.68	0.36	0.78
GCF_000016345.1_ASM1634v1_protein.faa.named.faa	0.07	0.07	0.4	0.66	0.68
GCF_001412595.1_ASM141259v1_protein.faa.named.faa	0.03	0.05	0.37	0.49	0.73
GCF_000209675.1_ASM20967v1_protein.faa.named.faa	0.18	0.03	0.24	0.59	0.37
GCF_000973725.1_ASM97372v1_protein.faa.named.faa	0.15	0.03	0.37	0.39	0.56
GCF_001042715.1_ASM104271v1_protein.faa.named.faa	0.2	0.18	0.41	0.21	0.41
GCF_000203895.1_ASM20389v1_protein.faa.named.faa	0.22	0.06	0.34	0.68	0.76
GCF_000219355.1_ASM21935v1_protein.faa.named.faa	0.0	0.02	0.11	0.33	0.31
GCF_000024365.1_ASM2436v1_protein.faa.named.faa	0.13	0.04	0.35	0.24	0.71
GCF_000953735.1_MVIS1_protein.faa.named.faa	0.0	0.02	0.34	0.82	0.55
GCF_000317675.1_ASM31767v1_protein.faa.named.faa	0.22	0.1	0.72	0.38	0.69
GCF_001688725.1_ASM168872v1_protein.faa.named.faa	0.01	0.03	0.08	0.14	0.32
GCF_000952975.1_D1G_protein.faa.named.faa	0.02	0.01		0.1	0.13
GCF_000005825.2_ASM582v2_protein.faa.named.faa	0.13	0.03	0.33	0.34	0.56
GCF_000189295.2_ASM18929v2_protein.faa.named.faa	0.56	0.14	0.5	0.71	0.62
GCF_000164885.1_ASM16488v1_protein.faa.named.faa	0.23	0.03	0.37	0.24	0.5
GCF_001050115.1_ASM105011v1_protein.faa.named.faa	0.1	0.03	0.38	0.37	0.47
GCF_000008285.1_ASM828v1_protein.faa.named.faa	0.02	0.02	0.27	0.14	0.29
GCF_000814825.1_ASM81482v1_protein.faa.named.faa	0.38	0.08	0.05	0.27	0.33
GCF_001678905.1_ASM167890v1_protein.faa.named.faa	0.06	0.01	0.31	0.31	0.44
GCF_000092185.1_ASM9218v1_protein.faa.named.faa	0.26	0.03		0.08	0.17
GCF_001262015.1_ASM126201v1_protein.faa.named.faa	0.0	0.05		0.29	0.29
GCF_000009545.1_ASM954v1_protein.faa.named.faa	0.23	0.11		0.0	0.06
GCF_000012305.1_ASM1230v1_protein.faa.named.faa	0.18	0.04	0.21	0.47	0.57
GCF_000755145.1_ASM75514v1_protein.faa.named.faa	0.01	0.01	0.01	0.01	0.16
GCF_000304355.2_Mb_MS2_protein.faa.named.faa	0.27	0.85	0.45	0.12	0.46
GCF_001558975.1_ASM155897v1_protein.faa.named.faa	0.46	0.22	0.31	0.24	0.38
GCF_000007485.1_ASM748v1_protein.faa.named.faa	0.15	0.1	0.22	0.25	0.18
GCF_000026085.1_ASM2608v1_protein.faa.named.faa	0.31	0.02	0.32	0.55	0.48
GCF_000014585.1_ASM1458v1_protein.faa.named.faa	0.16	0.06	0.77	0.4	0.62
GCF_000788395.1_ASM78839v1_protein.faa.named.faa	0.17	0.01	0.33	0.65	0.43
GCF_000311765.1_ASM31176v1_protein.faa.named.faa	0.06	0.04	0.38	0.54	0.66
GCF_001562215.1_ASM156221v1_protein.faa.named.faa	0.26	0.02	0.32	0.93	0.64
GCF_000025805.1_ASM2580v1_protein.faa.named.faa	0.06	0.04	0.35	0.37	0.59
GCF_000023985.1_ASM2398v1_protein.faa.named.faa	0.35	0.9	0.47	0.02	0.37
GCF_000968135.1_ASM96813v1_protein.faa.named.faa	0.56	0.07	0.45	0.8	0.7
GCF_000316575.1_ASM31657v1_protein.faa.named.faa	0.16	0.13	0.62	0.37	0.75
GCF_001188855.1_ASM118885v1_protein.faa.named.faa	0.0	0.01	0.18	0.19	0.4
GCF_000220625.1_ASM22062v1_protein.faa.named.faa	0.19	0.23	0.15	0.56	0.28
GCF_000185905.1_ASM18590v1_protein.faa.named.faa	0.03	0.2	0.61	0.37	0.79
GCF_000010265.1_ASM1026v1_protein.faa.named.faa	0.01	0.05	0.37	0.09	0.33
GCF_000021385.1_ASM2138v1_protein.faa.named.faa	0.65	0.11	0.59	0.58	0.57
GCF_000023785.1_ASM2378v1_protein.faa.named.faa	0.21	0.03	0.37	0.45	0.67
GCF_000012985.1_ASM1298v1_protein.faa.named.faa	0.13	0.04	0.31	0.67	0.68
GCF_000067205.1_ASM6720v1_protein.faa.named.faa	0.01	0.05	0.34	0.71	0.73
GCF_000154785.2_ASM15478v2_protein.faa.named.faa	0.17	0.11	0.55	0.61	0.77
GCF_000931445.1_ASM93144v1_protein.faa.named.faa	0.11	0.03	0.33	0.21	0.71
GCF_000248095.2_ASM24809v3_protein.faa.named.faa	0.17	0.02	0.11	0.37	0.08
GCF_001547995.1_ASM154799v1_protein.faa.named.faa	0.09	0.04	0.42	0.35	0.62
GCF_000015365.1_ASM1536v1_protein.faa.named.faa	0.01	0.07	0.33	0.63	0.6
GCF_000185805.1_ASM18580v1_protein.faa.named.faa	0.47	0.11	0.2	0.45	0.45
GCF_000014245.1_ASM1424v1_protein.faa.named.faa	0.03	0.03	0.33	0.34	0.67
GCF_001274895.1_ASM127489v1_protein.faa.named.faa	0.24	0.02	0.36	0.31	0.41
GCF_001543105.1_ASM154310v1_protein.faa.named.faa	0.23	0.0	0.04	0.0	0.03
GCF_001022135.1_ASM102213v1_protein.faa.named.faa	0.12	0.09	0.45	0.2	0.7
GCF_001275365.1_ASM127536v1_protein.faa.named.faa	0.06	0.04	0.08	0.05	0.29
GCF_000213865.1_ASM21386v1_protein.faa.named.faa	0.03	0.01	0.13	0.0	0.12
GCF_000012805.1_ASM1280v1_protein.faa.named.faa	0.12	0.13	0.31	0.84	0.7
GCF_000242595.2_ASM24259v3_protein.faa.named.faa	0.01	0.05	0.12	0.14	0.29
GCF_000299115.1_ASM29911v1_protein.faa.named.faa	0.07	0.04	0.22	0.38	0.49
GCF_000772045.1_ASM77204v1_protein.faa.named.faa	0.02	0.02	0.32	0.25	0.68
GCF_900078695.1_H044680328_protein.faa.named.faa	0.1	0.03	0.32	0.5	0.71
GCF_001638925.1_ASM163892v1_protein.faa.named.faa	0.09	0.03	0.33	0.43	0.67
GCF_000020065.1_ASM2006v1_protein.faa.named.faa	0.12	0.03	0.0	0.03	0.01
GCF_000328665.1_ASM32866v1_protein.faa.named.faa	0.27	0.9	0.53	0.28	0.6
GCF_000008545.1_ASM854v1_protein.faa.named.faa	0.17	0.06	0.14	0.1	0.32
GCF_001611035.1_ASM161103v1_protein.faa.named.faa	0.06	0.01	0.09	0.12	0.05
GCF_000012945.1_ASM1294v1_protein.faa.named.faa	0.15	0.06	0.4	0.44	0.74
GCF_000302535.1_ASM30253v1_protein.faa.named.faa	0.11	0.05	0.4	0.44	0.73
GCF_001050135.1_ASM105013v1_protein.faa.named.faa	0.03	0.03	0.3	0.53	0.48
GCF_000250675.2_ASM25067v3_protein.faa.named.faa	0.15	0.03	0.36	0.18	0.71
GCF_000016085.1_ASM1608v1_protein.faa.named.faa	0.48	0.09	0.48	0.57	0.54
GCF_000265425.1_ASM26542v1_protein.faa.named.faa	0.16	0.08	0.42	0.48	0.71
GCF_000184325.1_ASM18432v1_protein.faa.named.faa	0.15	0.07	0.29	0.77	0.61
GCF_000253255.1_ASM25325v1_protein.faa.named.faa	0.13	0.03	0.43	0.71	0.72
GCF_000164695.2_ASM16469v2_protein.faa.named.faa	0.1	0.09	0.25	0.19	0.42
GCF_001592435.1_ASM159243v1_protein.faa.named.faa	0.49	0.1		0.01	0.28
GCF_001465275.1_ASM146527v1_protein.faa.named.faa	0.02	0.04	0.41	0.38	0.58
GCF_000444995.1_ASM44499v1_protein.faa.named.faa	0.0	0.03	0.36	0.35	0.7
GCF_000009185.1_ASM918v1_protein.faa.named.faa	0.02	0.08	0.35	0.29	0.59
GCF_000471925.1_ASM47192v1_protein.faa.named.faa	0.08	0.04	0.42	0.72	0.78
GCF_001406115.1_Streptomyces_venezuelae_ATCC_15439_protein.faa.named.faa	0.16	0.03	0.41	0.2	0.7
GCF_000943805.1_ASM94380v1_protein.faa.named.faa	0.03	0.07	0.33	0.69	0.73
GCF_000025725.1_ASM2572v1_protein.faa.named.faa	0.32	0.08	0.41	0.65	0.61
GCF_001027285.1_ASM102728v1_protein.faa.named.faa	0.03	0.04	0.31	0.49	0.76
GCF_000063545.1_ASM6354v1_protein.faa.named.faa	0.04	0.02	0.14	0.38	0.31
GCF_000828815.1_ASM82881v1_protein.faa.named.faa	0.13	0.02	0.23	0.09	0.33
GCF_000632845.1_ASM63284v1_protein.faa.named.faa	0.03	0.02	0.17	0.35	0.33
GCF_000177535.2_ASM17753v2_protein.faa.named.faa	0.51	0.09	0.39	0.25	0.4
GCF_000327065.1_ASM32706v1_protein.faa.named.faa	0.12	0.07	0.4	0.79	0.61
GCF_000758705.1_ASM75870v1_protein.faa.named.faa	0.17	0.09	0.51	0.37	0.62
GCF_000747345.1_ASM74734v1_protein.faa.named.faa	0.18	0.04	0.26	0.31	0.57
GCF_000023885.1_ASM2388v1_protein.faa.named.faa	0.3	0.03		0.4	0.33
GCF_000270285.1_ASM27028v1_protein.faa.named.faa	0.3	0.07	0.04	0.37	0.36
GCF_000283975.1_ASM28397v1_protein.faa.named.faa	0.08	0.0	0.1	0.05	0.07
GCF_001314225.1_ASM131422v1_protein.faa.named.faa	0.39	0.08	0.36	0.23	0.53
GCF_000186985.1_ASM18698v3_protein.faa.named.faa	0.02	0.0	0.01	0.12	0.01
GCF_000213655.1_ASM21365v1_protein.faa.named.faa	0.15	0.03	0.35	0.55	0.56
GCF_000020965.1_ASM2096v1_protein.faa.named.faa	0.22	0.08	0.11	0.09	0.22
GCF_000981585.1_SBR5_T__protein.faa.named.faa	0.17	0.09	0.57	0.37	0.65
GCF_000020005.1_ASM2000v1_protein.faa.named.faa	0.19	0.03	0.04	0.12	0.39
GCF_000018625.1_ASM1862v1_protein.faa.named.faa	0.24	0.06	0.25	0.54	0.65
GCF_000017465.2_ASM1746v2_protein.faa.named.faa	0.36	0.05	0.13	0.68	0.45
GCF_000007805.1_ASM780v1_protein.faa.named.faa	0.15	0.05	0.4	0.21	0.71
GCF_000499665.2_RMONA_1_protein.faa.named.faa	0.02	0.01	0.16	0.38	0.29
GCF_000021345.1_ASM2134v1_protein.faa.named.faa	0.34	0.05	0.6	0.74	0.83
GCF_000017945.1_ASM1794v1_protein.faa.named.faa	0.5	0.08	0.06	0.33	0.3
GCF_001465545.3_ASM146554v3_protein.faa.named.faa	0.05	0.04	0.33	0.45	0.75
GCF_000785535.1_ASM78553v1_protein.faa.named.faa	0.25	0.0	0.36	0.24	0.52
GCF_000018545.1_ASM1854v1_protein.faa.named.faa	0.22	0.07	0.57	0.71	0.8
GCF_000832305.1_ASM83230v1_protein.faa.named.faa	0.04	0.04	0.41	0.42	0.75
GCF_000208385.1_ASM20838v1_protein.faa.named.faa	0.02	0.0	0.16	0.1	0.15
GCF_000015485.1_ASM1548v1_protein.faa.named.faa	0.68	0.1	0.55	0.66	0.53
GCF_000006965.1_ASM696v1_protein.faa.named.faa	0.0	0.11	0.58	0.74	0.82
GCF_000317975.2_ASM31797v2_protein.faa.named.faa	0.08	0.01	0.11	0.06	0.13
GCF_000412265.2_ASM41226v2_protein.faa.named.faa	0.02	0.04	0.42	0.2	0.71
GCF_000022205.1_ASM2220v1_protein.faa.named.faa	0.07	0.08	0.31	0.25	0.57
GCF_000143685.1_ASM14368v1_protein.faa.named.faa	0.22	0.18	0.34	0.09	0.4
GCF_000011985.1_ASM1198v1_protein.faa.named.faa	0.26	0.02	0.16	0.09	0.07
GCF_000025665.1_ASM2566v1_protein.faa.named.faa	0.49	0.06		0.04	0.26
GCF_000015325.1_ASM1532v1_protein.faa.named.faa	0.16	0.05	0.26	0.4	0.69
GCF_000010325.1_ASM1032v1_protein.faa.named.faa	0.49	0.09	0.39	0.56	0.56
GCF_000511305.1_ASM51130v1_protein.faa.named.faa	0.02	0.03	0.34	0.24	0.66
GCF_000006985.1_ASM698v1_protein.faa.named.faa	0.69	0.11	0.44	0.35	0.55
GCF_000017025.1_ASM1702v1_protein.faa.named.faa	0.13	0.07	0.29	0.11	0.36
GCF_000020545.1_ASM2054v1_protein.faa.named.faa	0.69	0.11	0.52	0.72	0.56
GCF_000235405.2_ASM23540v3_protein.faa.named.faa	0.06	0.04		0.08	0.3
GCF_000468615.2_ASM46861v2_protein.faa.named.faa	0.06	0.01	0.33	0.51	0.52
GCF_000013605.1_ASM1360v1_protein.faa.named.faa	0.18	0.06	0.43	0.92	0.69
GCF_001187785.1_ASM118778v1_protein.faa.named.faa	0.04	0.03	0.22	0.81	0.55
GCF_000218545.1_ASM21854v1_protein.faa.named.faa	0.01	0.03	0.33	0.32	0.64
GCF_000389635.1_ASM38963v1_protein.faa.named.faa	0.18	0.1	0.38	0.13	0.54
GCF_000012445.1_ASM1244v1_protein.faa.named.faa	0.05	0.05	0.43	0.51	0.75
GCF_000020605.1_ASM2060v1_protein.faa.named.faa	0.06	0.09	0.17	0.07	0.23
GCF_000013765.1_ASM1376v1_protein.faa.named.faa	0.11	0.01	0.27	0.69	0.5
GCF_000341345.1_ASM34134v1_protein.faa.named.faa	0.01	0.01	0.37	0.21	0.5
GCF_000730245.1_ASM73024v1_protein.faa.named.faa	0.01	0.02	0.17	0.4	0.32
GCF_000767275.2_ASM76727v3_protein.faa.named.faa	0.06	0.03		0.1	0.32
GCF_000970025.1_ASM97002v1_protein.faa.named.faa	0.36	0.93	0.42	0.0	0.48
GCF_000012765.1_ASM1276v1_protein.faa.named.faa	0.1	0.05	0.04	0.03	0.0
GCF_000196015.1_ASM19601v1_protein.faa.named.faa	0.1	0.06	0.39	0.76	0.76
GCF_000218915.1_ASM21891v1_protein.faa.named.faa	0.11	0.05	0.33	0.33	0.68
GCF_000015105.1_ASM1510v1_protein.faa.named.faa	0.54	0.04	0.36	0.51	0.6
GCF_000009965.1_ASM996v1_protein.faa.named.faa	0.34	0.06		0.01	0.31
GCF_000190635.1_ASM19063v1_protein.faa.named.faa	0.31	0.17	0.36	0.08	0.5
GCF_000187705.1_ASM18770v1_protein.faa.named.faa	0.1	0.06	0.32	0.32	0.64
GCF_000011185.1_ASM1118v1_protein.faa.named.faa	0.28	0.06		0.18	0.35
GCF_000875675.1_ASM87567v1_protein.faa.named.faa	0.39	0.04	0.28	0.22	0.33
GCF_000266925.1_ASM26692v1_protein.faa.named.faa	0.33	0.19		0.09	0.28
GCF_000739455.1_ASM73945v1_protein.faa.named.faa	0.04	0.17	0.32	0.32	0.47
GCF_000015345.1_ASM1534v1_protein.faa.named.faa	0.2	0.0	0.0	0.1	0.09
GCF_001310085.1_ASM131008v1_protein.faa.named.faa	0.09	0.08	0.28	0.35	0.57
GCF_000024005.1_ASM2400v1_protein.faa.named.faa	0.02	0.03	0.32	0.46	0.74
GCF_000012505.1_ASM1250v1_protein.faa.named.faa	0.16	0.05	0.77	0.31	0.64
GCF_000219725.1_ASM21972v1_protein.faa.named.faa	0.04	0.03	0.11	0.09	0.24
GCF_000800455.1_ASM80045v1_protein.faa.named.faa	0.02	0.01	0.13	0.01	0.13
GCF_000007025.1_ASM702v1_protein.faa.named.faa	0.03	0.02	0.17	0.38	0.31
GCF_000186365.1_ASM18636v1_protein.faa.named.faa	0.28	0.05		0.01	0.21
GCF_001010805.1_ASM101080v1_protein.faa.named.faa	0.1	0.03	0.37	0.64	0.55
GCF_000730425.1_ASM73042v1_protein.faa.named.faa	0.01	0.04	0.33	0.61	0.72
GCF_000179015.2_ASM17901v2_protein.faa.named.faa	0.02	0.05	0.32	0.58	0.72
GCF_000025685.1_ASM2568v1_protein.faa.named.faa	0.09	0.07	0.28	0.28	0.6
GCF_000008205.1_ASM820v1_protein.faa.named.faa	0.02	0.09	0.0	0.02	0.01
GCF_001430825.1_ASM143082v1_protein.faa.named.faa	0.2	0.01	0.39	0.42	0.47
GCF_001028705.1_ASM102870v1_protein.faa.named.faa	0.01	0.04	0.41	0.72	0.69
GCF_000246985.2_ASM24698v3_protein.faa.named.faa	0.36	0.13		0.01	0.32
GCF_001580455.1_ASM158045v1_protein.faa.named.faa	0.02	0.04	0.31	0.65	0.75
GCF_000014385.1_ASM1438v1_protein.faa.named.faa	0.15	0.02	0.08	0.04	0.09
GCF_000008805.1_ASM880v1_protein.faa.named.faa	0.04	0.03	0.18	0.26	0.51
GCF_000019785.1_ASM1978v1_protein.faa.named.faa	0.14	0.2	0.56	0.79	0.82
GCF_000069945.1_ASM6994v1_protein.faa.named.faa	0.08	0.0	0.28	0.32	0.4
GCF_000015305.1_ASM1530v1_protein.faa.named.faa	0.01	0.04	0.42	0.22	0.72
GCF_000213235.1_ASM21323v1_protein.faa.named.faa	0.05	0.12	0.02	0.1	0.17
GCF_000186245.1_ASM18624v1_protein.faa.named.faa	0.44	0.06	0.32	0.68	0.59
GCF_000024565.1_ASM2456v1_protein.faa.named.faa	0.02	0.0	0.01	0.08	0.02
GCF_000755185.1_ASM75518v1_protein.faa.named.faa	0.22	0.02	0.35	0.33	0.43
GCF_000025305.1_ASM2530v1_protein.faa.named.faa	0.03	0.02	0.06	0.09	0.24
GCF_000829235.1_ASM82923v1_protein.faa.named.faa	0.3	0.06	0.66	0.32	0.46
GCF_000223885.1_ASM22388v1_protein.faa.named.faa	0.02	0.04	0.22	0.51	0.59
GCF_000968175.1_ASM96817v1_protein.faa.named.faa	0.0	0.03	0.3	0.18	0.55
GCF_001655615.1_ASM165561v1_protein.faa.named.faa	0.09	0.05	0.4	0.38	0.71
GCF_000404165.1_ASM40416v1_protein.faa.named.faa	0.32	0.83	0.46	0.07	0.35
GCF_000953015.1_Candidatus_Methylopumilus_turicensis_MMS-10A-171_protein.faa.named.faa	0.09	0.19	0.38	0.36	0.59
GCF_000223905.1_ASM22390v1_protein.faa.named.faa	0.14	0.07	0.33	0.28	0.63
GCF_000319245.1_ASM31924v1_protein.faa.named.faa	0.03	0.04	0.07	0.05	0.26
GCF_001005905.1_ASM100590v1_protein.faa.named.faa	0.14	0.0	0.36	0.33	0.48
GCF_001542815.1_ASM154281v1_protein.faa.named.faa	0.03	0.2	0.66	0.59	0.8
GCF_001411495.1_ASM141149v1_protein.faa.named.faa	0.14	0.04	0.4	0.45	0.75
GCF_000828575.1_ASM82857v1_protein.faa.named.faa	0.36	0.91	0.44	0.04	0.39
GCF_000157355.2_ASM15735v2_protein.faa.named.faa	0.05	0.02	0.13	0.04	0.17
GCF_001535545.1_ASM153554v1_protein.faa.named.faa	0.01	0.03	0.33	0.39	0.49
GCF_001022155.1_ASM102215v1_protein.faa.named.faa	0.13	0.06	0.26	0.76	0.69
GCF_000027165.1_ASM2716v1_protein.faa.named.faa	0.16	0.0	0.03	0.05	0.07
GCF_000008385.1_ASM838v1_protein.faa.named.faa	0.06	0.02	0.13	0.36	0.31
GCF_000024285.1_ASM2428v1_protein.faa.named.faa	0.05	0.02	0.43	0.19	0.45
GCF_000195085.1_ASM19508v1_protein.faa.named.faa	0.04	0.04	0.33	0.39	0.43
GCF_000695235.1_ASM69523v1_protein.faa.named.faa	0.03	0.08	0.4	0.2	0.71
GCF_000316605.1_ASM31660v1_protein.faa.named.faa	0.13	0.05	0.68	0.57	0.71
GCF_000348805.1_ASM34880v1_protein.faa.named.faa	0.03	0.02	0.19	0.3	0.14
GCF_000022725.1_ASM2272v1_protein.faa.named.faa	0.07	0.01	0.15	0.39	0.38
GCF_000701165.1_ASM70116v2_protein.faa.named.faa	0.07	0.06	0.39	0.45	0.74
GCF_000022325.1_ASM2232v1_protein.faa.named.faa	0.27	0.12	0.17	0.04	0.37
GCF_000812665.2_ASM81266v2_protein.faa.named.faa	0.06	0.06	0.24	0.59	0.64
GCF_000022605.2_ASM2260v1_protein.faa.named.faa	0.03	0.0	0.27	0.3	0.18
GCF_000183725.1_ASM18372v1_protein.faa.named.faa	0.48	0.07	0.5	0.65	0.68
GCF_000007245.1_ASM724v1_protein.faa.named.faa	0.07	0.06	0.39	0.43	0.59
GCF_000202635.1_ASM20263v1_protein.faa.named.faa	0.35	0.02	0.37	0.23	0.53
GCF_000196835.1_ASM19683v1_protein.faa.named.faa	0.09	0.05	0.34	0.29	0.72
GCF_000800295.1_ASM80029v1_protein.faa.named.faa	0.09	0.0		0.04	0.18
GCF_000988065.1_ASM98806v1_protein.faa.named.faa	0.11	0.0	0.0	0.15	0.01
GCF_000402035.1_ASM40203v1_protein.faa.named.faa	0.04	0.17	0.43	0.55	0.77
GCF_000195315.1_ASM19531v1_protein.faa.named.faa	0.11	0.0	0.06	0.1	0.11
GCF_000009865.1_ASM986v1_protein.faa.named.faa	0.18	0.01	0.28	0.16	0.44
GCF_000742835.1_ASM74283v1_protein.faa.named.faa	0.15	0.0	0.01	0.38	0.37
GCF_000019665.1_ASM1966v1_protein.faa.named.faa	0.31	0.07	0.65	0.48	0.78
GCF_000192865.1_ASM19286v1_protein.faa.named.faa	0.21	0.03	0.23	0.36	0.53
GCF_000019205.1_ASM1920v1_protein.faa.named.faa	0.28	0.03	0.19	0.72	0.54
GCF_001444405.1_ASM144440v1_protein.faa.named.faa	0.2	0.01	0.39	0.4	0.44
